"","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","MR.micro.mol.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data","Conversion.factor.to.micro.mol.kg.h"
"119","Cyprinidae","Onychostoma","simum","Sharp-jaw barbell","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,3.92,"-","0.00023","-","-",36.5,1300,0.3,"63.4","-","1.6","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","43.09","-","-","mg O2/ kg / h",5.28,"1.41","-","-","-","0.06","mg O2 /L","-",2.9,"0.123583934","-","","43.09","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,NA,NA,NA,"crescent","Onychostoma_simum",0.1,0,0.593286067,29.558795,0.301538462,-0.520657285,0.722633923,-0.402023004,1.1e-15,-7.41862261,"quantatative",0.03125
"120","Cyprinidae","Spinibarbus","sinensis","Qingbo","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,6.61,"-","0.00024","-","-",47.1,NA,NA,"71","-","0.8","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","38.91","-","-","mg O2/ kg / h",8.04,"1.48","-","-","-","0.09","mg O2 /L","-",3.05,"0.185375901","-","","38.91","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,NA,NA,2.93,"crescent","Spinibarbus_sinensis",0.1,0,0.820201459,29.558795,NA,NA,0.905256049,-0.40936997,-6.113465891,-7.41862261,"quantatative",0.03125
"121","Cyprinidae","Zacco","platypus","Chinese hook
snout carp","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,6.79,"-","0.0001","-","-",20,114.9,5.91,"46.9","-","2","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","50.8","-","-","mg O2/ kg / h",10.78,"2.99","-","-","-","0.39","mg O2 /L","-",6.16,"0.803295572","-","","50.8","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,"1.15","FCM",1.15,"crescent","Zacco_platypus",0.1,0,0.831869774,29.558795,5.90948651,0.771549746,1.032618761,-0.291775741,1.8e-14,-7.41862261,"quantatative",0.03125
"122","Cyprinidae","Hypophthalmichthys","molitrix","Silver carp","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,7.3,"-","0.0008","-","-",120,32500,0.02,"64.8","-","2.5","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","35.37","-","-","mg O2/ kg / h",8.07,"1.05","-","-","-","0.08","mg O2 /L","-",2.16,"0.164778579","-","","35.37","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,"1","FD",1,"crescent","Hypophthalmichthys_molitrix",0.1,0,0.86332286,29.558795,0.022461538,-1.648560501,0.906873535,-0.44385287,-4.003461859,-7.41862261,"quantatative",0.03125
"123","Cyprinidae","Parabramis","pekinensis","Chinese bream","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,9.05,"-","0.00032","-","-",55,1900,0.48,"79.6","-","1.2","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","29.58","-","-","mg O2/ kg / h",8.37,"1.03","-","-","-","0.07","mg O2 /L","-",2.12,"0.144181256","-","","29.58","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,NA,NA,1,"crescent","Parabramis_pekinensis",0.1,0,0.956648579,29.558795,0.476315789,-0.322105022,0.922725458,-0.506131399,-4.17027277,-7.41862261,"quantatative",0.03125
"124","Cyprinidae","Ctenopharyngodon","idellus","Grass carp","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,9.22,"-","0.00023","-","-",150,37600,0.02,"92.4","-","1.2","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","46.95","-","-","mg O2/ kg / h",13.53,"1.51","-","-","-","0.13","mg O2 /L","-",3.11,"0.267765191","-","","46.95","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,"1","FCM",1,"crescent","Ctenopharyngodon_idella",0.1,0,0.964730921,29.558795,0.024521277,-1.610456924,1.131297797,-0.304325438,-4.17027277,-7.41862261,"quantatative",0.03125
"125","Cyprinidae","Ctenopharyngodon","piceus","Black carp","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,6.27,"-","0.0009","-","-",NA,NA,NA,"42.9","-","1.5","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","54.66","-","-","mg O2/ kg / h",10.71,"1.92","-","-","-","0.13","mg O2 /L","-",3.95,"0.267765191","-","","54.66","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,"1.06","FD",1.06,"crescent","Ctenopharyngodon_piceus",0.1,0,0.797267541,29.558795,NA,NA,1.029789471,-0.265636723,-4.16e-17,-7.41862261,"quantatative",0.03125
"126","Cyprinidae","Carassius","auratus","Gold fish","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,6.45,"-","0.00036","-","-",48,2000,0.32,"58.5","-","1.4","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","32.8","-","-","mg O2/ kg / h",6.61,"1.22","-","-","-","0.1","mg O2 /L","-",2.51,"0.205973223","-","","32.8","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,"1.89","FCM",1.89,"crescent","Carassius_auratus_auratus",0.1,0,0.809559715,29.558795,0.3225,-0.491470281,0.820201459,-0.4855155,-1.564565884,-7.41862261,"quantatative",0.03125
"127","Cyprinidae","Carassius ","carassius","Crucian carp","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,8.6,"-","0.0004","-","-",64,5600,0.15,"69.6","-","1.4","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","40.19","-","-","mg O2/ kg / h",10.8,"1.24","-","-","-","0.13","mg O2 /L","-",2.55,"0.267765191","-","","40.19","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,"2.14","FCM",2.14,"crescent","Carassius_carassius",0.1,0,0.934498451,29.558795,0.153571429,-0.813689576,1.033423755,-0.376889451,-1.503254397,-7.41862261,"quantatative",0.03125
"128","Cyprinidae","Cyprinus ","carpio","Common carp","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,7.06,"-","0.00023","-","-",120,20600,0.03,"64","-","0.8","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","49.2","-","-","mg O2/ kg / h",10.85,"1.14","-","-","-","0.07","mg O2 /L","-",2.35,"0.144181256","-","","49.2","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,"1.92","FCM",1.92,"crescent","Cyprinus_carpio_carpio",0.1,0,0.848804701,29.558795,0.034271845,-1.465062519,1.035429738,-0.30314235,-5.272904051,-7.41862261,"quantatative",0.03125
"129","Cyprinidae","Aristichthys ","nobilis","Bighead carp","Chongqing, China","29.526537, 106.527954",29.558795," 106.527954","Yes","14",15,"Freshwater","mg / L","10",NA,"commercial
forage","-","-","Satiation","daily","12:12",15,11.27,"-","0.00044","-","-",146,28800,0.04,"87.3","-","1.4","-","-","Juvenile","Juvenile","-","48","Closed","-","O2 consumption by fish","1.04","-","1","% Air Sat.",0.1,15,"-","-","No","Oxyregulator","RMR","32.15","-","-","mg O2/ kg / h",11.32,"0.78","-","-","-","0.15","mg O2 /L","-",1.6,"0.308959835","-","","32.15","-","One-way ANCOVA ","-","Method of Yeager
& Ultsch (1989)","","Fish from rapid flow habitats exhibit lower Pcrit","Fu et al., ","2014","S.J. Fu","10.1242/jeb.089268","Fu, S. J., Fu, C., Yan, G. J., Cao, Z. D., Zhang, A. J., & Pang, X. (2014). Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats. Journal of Experimental Biology, 217(4), 590-597. ",NA,"1.03","FD",1.03,"crescent","Hypophthalmichthys_nobilis",0.1,0,1.051923916,29.558795,0.039131944,-1.407468572,1.053846427,-0.454773063,-4.17027277,-7.41862261,"quantatative",0.03125
"130","Carangidae","Trachurus","capensis","Cape horse mackerel","South Atlantic Ocean","-34.273218, 16.851555",-34.273218," 16.851555","Yes","-",18,"Seawater","-","-",NA," Artemia enriched with
DHA-Selco","-","-","-","-","12:12",10,0.008,"-","-","","",60,1800,0,"-","-","-","-","-","Larvae","Larvae","-","-","Closed","-","O2 consumption by fish","-","-","20","% Air Sat.",30,18,"-","-","No","Oxyregulator","RMR",NA,"-","-","-",NA,"-","29","20","-","-","% Air Sat.","-",5.09,"-","-","","","1.558.299.197","-","-","Method of Yeager
& Ultsch (1989)","","-","Geist et al., ","2013","S.J. Geist","10.1007/s00227-013-2309-2","Geist, S. J., Ekau, W., & Kunzmann, A. (2013). Energy demand of larval and juvenile Cape horse mackerels, Trachurus capensis, and indications of hypoxia tolerance as benefit in a changing environment. Marine Biology, 160(12), 3221-3232. ",NA,"0.94","FIA",0.94,"crescent","Trachurus_capensis",35,0,-2.096910013,34.273218,0.000444444,-3.352182518,NA,0,2.64e-14,-3.068083466,"qualitative (Seawater)",NA
"131","Carangidae","Trachurus","capensis","Cape horse mackerel","South Atlantic Ocean","-34.273218, 16.851556",-34.273218," 16.851556","Yes","210",18,"Seawater","-","-",NA," Artemia enriched with
DHA-Selco","-","-","-","-","12:12",7,20.8,"-","-","","",60,1800,1.16,"-","-","-","-","-","Juvenile","Juvenile","-","-","Closed","-","O2 consumption by fish","-","-","5","% Air Sat.",30,18,"-","-","No","Oxyregulator","RMR",NA,"-","-","-",NA,"13.23","-","-","-","1.62","% Air Sat.","-",2.74,"0.336547754","-","","","1.558.299.197","-","-","Method of Yeager
& Ultsch (1989)","","-","Geist et al., ","2013","S.J. Geist","10.1007/s00227-013-2309-2","Geist, S. J., Ekau, W., & Kunzmann, A. (2013). Energy demand of larval and juvenile Cape horse mackerels, Trachurus capensis, and indications of hypoxia tolerance as benefit in a changing environment. Marine Biology, 160(12), 3221-3232. ",NA,"0.94","FIA",0.94,"crescent","Trachurus_capensis",35,0,1.318063335,34.273218,1.155555556,0.06279083,NA,0,-3.04e-14,-3.068083466,"qualitative (Seawater)",NA
"132","Cyprinodontidae","Cyprinodon","variegatus","Sheepshead minnow","CedarKey,Florida, USA","29.147511, -83.045507",29.147511," -83.045507","Yes","14",20,"0","-","-",NA,"Tetramin","-","-","-","daily","12:12",11,3.17,"-","0.000232","-","-",9,36.65,8.65,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","0.43","-","20","mmHg",0,20,"-","-","No","Oxyregulator","RMR","0.78","-","-","mg O2 / h ",24.38,"56.98","-","-","-","6.29","mmHg","-",7.6,"0.838554859","-","","","-","One-way ANOVA Tukey-Kramer post-hoc","-","Method of Yeager
& Ultsch (1989)","","Pcrit progressivly increases at salinities above 40 ppt. (MO2 mass correction exponent = 0.68)","Haney & Nordlie","1997","D.C. Haney","10.1086/515867","Haney, D. C., & Nordlie, F. G. (1997). Influence of environmental salinity on routine metabolic rate and critical oxygen tension of Cyprinodon variegatus. Physiological Zoology, 70(5), 511-518. ",NA,"1.6","BFA",1.6,"round","Cyprinodon_variegatus",0,0,0.501059262,29.147511,8.649386085,0.936985283,1.387033701,0.212843552,1.05e-13,-2.536442997,"quantatative",9.8600663269433
"133","Cyprinodontidae","Cyprinodon","variegatus","Sheepshead minnow","CedarKey,Florida, USA","29.147511, -83.045507",29.147511," -83.045507","Yes","14",20,"2","-","-",NA,"Tetramin","-","-","-","daily","12:12",7,3.8,"-","0.000258","-","-",9,36.65,10.37,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","0.43","-","20","mmHg",2,20,"-","-","No","Oxyregulator","RMR","0.97","-","-","mg O2 / h ",30.31,"51.49","-","-","-","5.85","mmHg","-",6.86,"0.779896014","-","","","-","One-way ANOVA Tukey-Kramer post-hoc","-","Method of Yeager
& Ultsch (1989)","","Pcrit progressivly increases at salinities above 40 ppt. (MO2 mass correction exponent = 0.68)","Haney & Nordlie","1997","D.C. Haney","10.1086/515867","Haney, D. C., & Nordlie, F. G. (1997). Influence of environmental salinity on routine metabolic rate and critical oxygen tension of Cyprinodon variegatus. Physiological Zoology, 70(5), 511-518. ",NA,"1.6","BFA",1.6,"round","Cyprinodon_variegatus",2,0,0.579783597,29.147511,10.36834925,1.015709618,1.481585936,0.228721414,7.33e-14,-2.536442997,"quantatative",8.22300596852957
"134","Cyprinodontidae","Cyprinodon","variegatus","Sheepshead minnow","CedarKey,Florida, USA","29.147511, -83.045507",29.147511," -83.045507","Yes","14",20,"15","-","-",NA,"Tetramin","-","-","-","daily","12:12",8,2.95,"-","0.000438","-","-",9,36.65,8.05,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","0.43","-","20","mmHg",15,20,"-","-","No","Oxyregulator","RMR","0.78","-","-","mg O2 / h ",24.38,"53.68","-","-","-","4.92","mmHg","-",7.16,"0.655912545","-","","","-","One-way ANOVA Tukey-Kramer post-hoc","-","Method of Yeager
& Ultsch (1989)","","Pcrit progressivly increases at salinities above 40 ppt. (MO2 mass correction exponent = 0.68)","Haney & Nordlie","1997","D.C. Haney","10.1086/515867","Haney, D. C., & Nordlie, F. G. (1997). Influence of environmental salinity on routine metabolic rate and critical oxygen tension of Cyprinodon variegatus. Physiological Zoology, 70(5), 511-518. ",NA,"1.6","BFA",1.6,"round","Cyprinodon_variegatus",15,0,0.469822016,29.147511,8.049113233,0.905748037,1.387033701,0.143235413,-5.27e-16,-2.536442997,"quantatative",10.5953933072577
"135","Cyprinodontidae","Cyprinodon","variegatus","Sheepshead minnow","CedarKey,Florida, USA","29.147511, -83.045507",29.147511," -83.045507","Yes","14",20,"30","-","-",NA,"Tetramin","-","-","-","daily","12:12",10,3.57,"-","0.000402","-","-",9,36.65,9.74,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","0.43","-","20","mmHg",30,20,"-","-","No","Oxyregulator","RMR","0.83","-","-","mg O2 / h ",25.94,"52.16","-","-","-","5.1","mmHg","-",6.95,"0.679909345","-","","","-","One-way ANOVA Tukey-Kramer post-hoc","-","Method of Yeager
& Ultsch (1989)","","Pcrit progressivly increases at salinities above 40 ppt. (MO2 mass correction exponent = 0.68)","Haney & Nordlie","1997","D.C. Haney","10.1086/515867","Haney, D. C., & Nordlie, F. G. (1997). Influence of environmental salinity on routine metabolic rate and critical oxygen tension of Cyprinodon variegatus. Physiological Zoology, 70(5), 511-518. ",NA,"1.6","BFA",1.6,"round","Cyprinodon_variegatus",30,0,0.552668216,29.147511,9.740791269,0.988594237,1.413969972,0.005055133,6.69e-15,-2.536442997,"quantatative",8.75434511153859
"136","Cyprinodontidae","Cyprinodon","variegatus","Sheepshead minnow","CedarKey,Florida, USA","29.147511, -83.045507",29.147511," -83.045507","Yes","14",20,"40","-","-",NA,"Tetramin","-","-","-","daily","12:12",9,2.19,"-","0.000337","-","-",9,36.65,5.98,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","0.43","-","20","mmHg",40,20,"-","-","No","Oxyregulator","RMR","0.96","-","-","mg O2 / h ",30,"52.14","-","-","-","2.7","mmHg","-",6.95,"0.359952006","-","","","-","One-way ANOVA Tukey-Kramer post-hoc","-","Method of Yeager
& Ultsch (1989)","","Pcrit progressivly increases at salinities above 40 ppt. (MO2 mass correction exponent = 0.68)","Haney & Nordlie","1997","D.C. Haney","10.1086/515867","Haney, D. C., & Nordlie, F. G. (1997). Influence of environmental salinity on routine metabolic rate and critical oxygen tension of Cyprinodon variegatus. Physiological Zoology, 70(5), 511-518. ",NA,"1.6","BFA",1.6,"round","Cyprinodon_variegatus",40,0,0.340444115,29.147511,5.975443383,0.776370136,1.477121255,0.182036686,7.12e-14,-2.536442997,"quantatative",14.2694063926941
