"","X.3","X.2","X.1","Family","Genus","Species","Common.Name","Origin","Lat...Long","latitude","longitude","Wild.caught.","Acclimation.Time..days.","Acclimation.Temperature..OC.","Acclimation.Salinity..psu.","PO2.Units","Acclimation.PO2","Acclimation.pH","Diet","Energy.Content","Ration.Unit","Ration.Size","Feeding.Regime","Photoperiod.Hours..L.D.","Sample.Size","Mean.Mass..g.","Mass.SD","Mass.SEM","Mass.Range.Upper..kg.","Mass.Range.Lower..kg.","Max.published.length..cm.","Calculated.mass..g.","percent.BM","Mean.Length..mm.","Length.SD","Length.SEM","Length.Range.Upper..mm.","Length.Range.Lower..mm.","Life.Stage","Expected.life.stage","Sex","Last.Feed..h.","RESPIROMETRY_TYPE","Swimming.Speed..body.lengths.s.1.","Hypoxia.Exposure.Method","Rate.of.Hypoxia.Onset..PO2.unit...min.1.","PO2.Setpoint.Time..mins.","Minimum.PO2","PO2.Unit","Salinity..psu.","Temp","pH","PCO2..uatm.","Access.to.Air","Oxy...conforming...regulating","Routine....Standard.MO2...RMR...SMR.","ORIGINAL_MR_VALUE","MO2.Range.Upper","MO2.Range.Lower","MO2.Units","omrekenfactor.naar.micro.mol.kg.h","MR.µM.h","Critical_PO2","Critical.PO2.Range...Upper.Limit","Critical.PO2.Range...Lower.Limit","Critical.PO2.SD","Critical.PO2.SEM","Critical.PO2.Unit","Air.Breathing.Threshold","Pcrit..kPa.","Pcrit_SE","Pcrit.SD..kPa.","SMR..mgO2...kg..hr.","RMR..mgO2..kg..hr.","X100...Air.Sat...mmHg.","Statistical.Method","SMR.Determination.Method","Pcrit.Calculation.Method","mean.duration.of.Pcrit.trial..min.","Comments.and.Reference.Details","Reference","Year","Corresponding.Author","DOI","Full.Citation","X","C.Value","C.Value.method","Estimated_C.Value","Aspect.ratio.of.the.caudal.fin","animal","Salt","Taccl","logMass","Lat_abs","Calculatedpercent","logpercentcalc","logMR","residMR","relT","relT2","Salt_type_data"
"81",81,81,81,"Salmonidae","Salmo","salar","Atlantic salmon","Tasmania Pty. Ltd., SALTAS, Wayatinah, Tasmania, Australia","-42.388511, 146.500534",-42.388511,"146,500534","No","21",14,"Freshwater","-","-",NA,"-","-","-","-","Daily","-",9,150.7,"0.0408","-","-","-","150",14300,1.05,"-","-","-","-","-","-","Juvenile","-","12","Closed","-","O2 consumption by fish","-","-","1.7","mg / L",0.1,14,"-","-","No","Oxyregulator (67%)","RMR","191.14","-","-","mg O2 / kg /hr","31,25",900.15,"3.46","-","-","0.14","-","mg O2 /L","-",6.97,"0.094104994","0.282314983","","191.14","-","ANOVA","-","Piece-wise regression","","-","Barnes et al., ","2011","R.K. Barnes","0.1016/j.aquaculture.2011.06.003","Barnes, R., King, H., & Carter, C. G. (2011). Hypoxia tolerance and oxygen regulation in Atlantic salmon, Salmo salar from a Tasmanian population. Aquaculture, 318(3-4), 397-401. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",0.1,0,2.17811325231463,42.388511,1.05384615384615,0.0227772148495699,2.95431488582178,0.52888091360286,-3.62731406454162,-4.74329825665099,"quantatative"
"82",82,82,82,"Salmonidae","Salmo","salar","Atlantic salmon","Tasmania Pty. Ltd., SALTAS, Wayatinah, Tasmania, Australia","-42.388511, 146.500535",-42.388511,"146,500534","No","21",18,"Freshwater","-","-",NA,"-","-","-","-","Daily","-",8,150.7,"0.0408","-","-","-","150",14300,1.05,"-","-","-","-","-","-","Juvenile","-","12","Closed","-","O2 consumption by fish","-","-","1.7","mg / L",0.1,18,"-","-","No","Oxyregulator (50%)","RMR","203.93","-","-","mg O2 / kg /hr","31,25",960.38,"3.39","-","-","0.26","-","mg O2 /L","-",7.42,"0.201278479","0.569301511","","203.93","-","ANOVA","-","Piece-wise regression","","-","Barnes et al., ","2011","R.K. Barnes","0.1016/j.aquaculture.2011.06.003","Barnes, R., King, H., & Carter, C. G. (2011). Hypoxia tolerance and oxygen regulation in Atlantic salmon, Salmo salar from a Tasmanian population. Aquaculture, 318(3-4), 397-401. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",0.1,0,2.17811325231463,42.388511,1.05384615384615,0.0227772148495699,2.98244310725746,0.454045575289903,0.372685935458323,-0.743298256650985,"quantatative"
"83",83,83,83,"Salmonidae","Salmo","salar","Atlantic salmon","Tasmania Pty. Ltd., SALTAS, Wayatinah, Tasmania, Australia","-42.388511, 146.500536",-42.388511,"146,500534","No","21",22,"Freshwater","-","-",NA,"-","-","-","-","Daily","-",10,150.7,"0.0408","-","-","-","150",14300,1.05,"-","-","-","-","-","-","Juvenile","-","12","Closed","-","O2 consumption by fish","-","-","1.7","mg / L",0.1,22,"-","-","No","Oxyregulator (50%)","RMR","293.41","-","-","mg O2 / kg /hr","31,25",1381.78,"4.59","-","-","0.32","-","mg O2 /L","-",10.84,"0.239057135","0.755965037","","293.41","-","ANOVA","-","Piece-wise regression","","-","Barnes et al., ","2011","R.K. Barnes","0.1016/j.aquaculture.2011.06.003","Barnes, R., King, H., & Carter, C. G. (2011). Hypoxia tolerance and oxygen regulation in Atlantic salmon, Salmo salar from a Tasmanian population. Aquaculture, 318(3-4), 397-401. ",NA,"3.04","FCM",3.04,"crescent","Salmo_salar",0.1,0,2.17811325231463,42.388511,1.05384615384615,0.0227772148495699,3.14043890237849,0.511870042791069,4.37268593545848,3.25670174334901,"quantatative"
"84",84,84,84,"Clariidae","Clarias","gariepinus","African catfish","Sao Jose´ do Rio Preto, Sao Paulo
State, Brazil","-20.809746, -49.373991",-20.809746,"-49,373991","Yes","90",25,"Freshwater","-","-",NA,"Commercial food pellet supplemented with live
food.","-","-","ad libitum","Daily","-",11,520,"-","-","0.7","0.34","170",42400,1.23,"-","-","-","-","-","-","Juvenile","-","12","unknown","-","O2 consumption by fish","-","-","20","mmHg",0.1,25,"-","-","No","Oxyregulator","RMR","70","-","-","ml O2 / kg / h","31,25",1137.5,"60","-","-","-","-","mmHg","-",7.99,"-","-","","","-","-","-","Determined graphically","","Faculative air-breather when given access to air","Belao et al., ","2011","T.A. Belao","10.1007/s00360-011-0577-z","Belão, T. C., Leite, C. A. C., Florindo, L. H., Kalinin, A. L., & Rantin, F. T. (2011). Cardiorespiratory responses to hypoxia in the African catfish, Clarias gariepinus (Burchell 1822), an air-breathing fish. Journal of Comparative Physiology B: Biochemi",NA,"1.2","BFA",1.2,"round","Clarias_gariepinus",0.1,0,2.7160033436348,20.809746,1.22641509433962,0.0886374870420665,3.05595140532915,-0.0962921650009643,8.60422844084496e-16,0.0750403164131961,"quantatative"
"85",85,85,85,"Sparidae","Dentex","dentex","Common dentex","San Pedro del Pinatar (Murcia, SE Spain)","37.819597, -0.750014",37.819597,"-0,750014","Yes","14",28.1,"38","% Air Sat.","90","8.1","Boops boops","-","-","ad libitum","Daily","Natural",4,251.2,"0.011","-","-","-","100",29600,0.85,"-","-","-","-","-","-","Juvenile","-","36","Closed","-","O2 consumption by fish","0.3","-","10","% Air Sat.",38,28.1,"-","-","No","Oxyregulator","RMR",NA,"-","-","-","",NA,"40.2","-","-","-","-","% Air Sat.","-",8.2,"-","-","","","1.530.996.012","Regression Analysis (SEE)","-","Intersection of two linear regressions ","","-","Valverde et al., ","2006","B.G. Garcia","10.1016/j.aquaculture.2006.02.030","Cerezo Valverde, J., Martínez López, F. J., & García García, B. (2006). Oxygen consumption and ventilatory frequency responses to gradual hypoxia in common dentex (Dentex dentex): Basis for suitable oxygen level estimations. Aquaculture, 256(1-4), 542-551",NA,"1.03","FCM",1.03,"crescent","Dentex_dentex",38,0,2.40001963506516,37.819597,0.848648648648649,-0.0712720759937801,NA,0,7.2875,8.04784651290432,"quantatative"
"86",86,86,86,"Sparidae","Dentex","dentex","Common dentex","San Pedro del Pinatar (Murcia, SE Spain)","37.819597, -0.750014",37.819597,"-0,750014","Yes","14",26.8,"38","% Air Sat.","90","8.1","Boops boops","-","-","ad libitum","Daily","Natural",3,656.4,"0.0111","-","-","-","100",29600,2.22,"-","-","-","-","-","-","Juvenile","-","36","Closed","-","O2 consumption by fish","0.3","-","10","% Air Sat.",38,26.8,"-","-","No","Oxyregulator","RMR",NA,"-","-","-","",NA,"38.7","-","-","-","-","% Air Sat.","-",7.92,"-","-","","","1.535.366.196","Regression Analysis (SEE)","-","Intersection of two linear regressions ","","-","Valverde et al., ","2006","B.G. Garcia","10.1016/j.aquaculture.2006.02.030","Cerezo Valverde, J., Martínez López, F. J., & García García, B. (2006). Oxygen consumption and ventilatory frequency responses to gradual hypoxia in common dentex (Dentex dentex): Basis for suitable oxygen level estimations. Aquaculture, 256(1-4), 542-552",NA,"1.03","FCM",1.03,"crescent","Dentex_dentex",38,0,2.81716857238106,37.819597,2.21756756756757,0.345876861322117,NA,0,5.98749999999992,6.74784651290432,"quantatative"
"87",87,87,87,"Sparidae","Dentex","dentex","Common dentex","San Pedro del Pinatar (Murcia, SE Spain)","37.819597, -0.750014",37.819597,"-0,750014","Yes","14",24.1,"38","% Air Sat.","90","8.1","Boops boops","-","-","ad libitum","Daily","Natural",4,255.1,"0.0162","-","-","-","100",29600,0.86,"-","-","-","-","-","-","Juvenile","-","36","Closed","-","O2 consumption by fish","0.3","-","10","% Air Sat.",38,24.1,"-","-","No","Oxyregulator","RMR",NA,"-","-","-","",NA,"40.6","-","-","-","-","% Air Sat.","-",8.35,"-","-","","","1.543.564.477","Regression Analysis (SEE)","-","Intersection of two linear regressions ","","-","Valverde et al., ","2006","B.G. Garcia","10.1016/j.aquaculture.2006.02.030","Cerezo Valverde, J., Martínez López, F. J., & García García, B. (2006). Oxygen consumption and ventilatory frequency responses to gradual hypoxia in common dentex (Dentex dentex): Basis for suitable oxygen level estimations. Aquaculture, 256(1-4), 542-553",NA,"1.03","FCM",1.03,"crescent","Dentex_dentex",38,0,2.40671045860979,37.819597,0.861824324324324,-0.0645812524491486,NA,0,3.28750000000004,4.04784651290432,"quantatative"
"88",88,88,88,"Sparidae","Dentex","dentex","Common dentex","San Pedro del Pinatar (Murcia, SE Spain)","37.819597, -0.750014",37.819597,"-0,750014","Yes","14",20.9,"38","% Air Sat.","90","8.1","Boops boops","-","-","ad libitum","Daily","Natural",3,350.8,"0.0107","-","-","-","100",29600,1.19,"-","-","-","-","-","-","Juvenile","-","36","Closed","-","O2 consumption by fish","0.3","-","10","% Air Sat.",38,20.9,"-","-","No","Oxyregulator","RMR",NA,"-","-","-","",NA,"30.6","-","-","-","-","% Air Sat.","-",6.33,"-","-","","","1.551.892.524","Regression Analysis (SEE)","-","Intersection of two linear regressions ","","-","Valverde et al., ","2006","B.G. Garcia","10.1016/j.aquaculture.2006.02.030","Cerezo Valverde, J., Martínez López, F. J., & García García, B. (2006). Oxygen consumption and ventilatory frequency responses to gradual hypoxia in common dentex (Dentex dentex): Basis for suitable oxygen level estimations. Aquaculture, 256(1-4), 542-554",NA,"1.03","FCM",1.03,"crescent","Dentex_dentex",38,0,2.545059584694,37.819597,1.18513513513514,0.0737678736350643,NA,0,0.0875000000000033,0.847846512904313,"quantatative"
"89",89,89,89,"Sparidae","Dentex","dentex","Common dentex","San Pedro del Pinatar (Murcia, SE Spain)","37.819597, -0.750014",37.819597,"-0,750014","Yes","14",19.8,"38","% Air Sat.","90","8.1","Boops boops","-","-","ad libitum","Daily","Natural",3,601.7,"0.0198","-","-","-","100",29600,2.03,"-","-","-","-","-","-","Juvenile","-","36","Closed","-","O2 consumption by fish","0.3","-","10","% Air Sat.",38,19.8,"-","-","No","Oxyregulator","RMR",NA,"-","-","-","",NA,"36.6","-","-","-","-","% Air Sat.","-",7.58,"-","-","","","1.554.441.798","Regression Analysis (SEE)","-","Intersection of two linear regressions ","","-","Valverde et al., ","2006","B.G. Garcia","10.1016/j.aquaculture.2006.02.030","Cerezo Valverde, J., Martínez López, F. J., & García García, B. (2006). Oxygen consumption and ventilatory frequency responses to gradual hypoxia in common dentex (Dentex dentex): Basis for suitable oxygen level estimations. Aquaculture, 256(1-4), 542-555",NA,"1.03","FCM",1.03,"crescent","Dentex_dentex",38,0,2.77938001149166,37.819597,2.03277027027027,0.308088300432717,NA,0,-1.01249999999997,-0.252153487095685,"quantatative"
"90",90,90,90,"Sparidae","Dentex","dentex","Common dentex","San Pedro del Pinatar (Murcia, SE Spain)","37.819597, -0.750014",37.819597,"-0,750014","Yes","14",17.2,"38","% Air Sat.","90","8.1","Boops boops","-","-","ad libitum","Daily","Natural",4,117.4,"0.0374","-","-","-","100",29600,0.4,"-","-","-","-","-","-","Juvenile","-","36","Closed","-","O2 consumption by fish","0.3","-","10","% Air Sat.",38,17.2,"-","-","No","Oxyregulator","RMR",NA,"-","-","-","",NA,"29.4","-","-","-","-","% Air Sat.","-",6.11,"-","-","","","1.559.894.063","Regression Analysis (SEE)","-","Intersection of two linear regressions ","","-","Valverde et al., ","2006","B.G. Garcia","10.1016/j.aquaculture.2006.02.030","Cerezo Valverde, J., Martínez López, F. J., & García García, B. (2006). Oxygen consumption and ventilatory frequency responses to gradual hypoxia in common dentex (Dentex dentex): Basis for suitable oxygen level estimations. Aquaculture, 256(1-4), 542-556",NA,"1.03","FCM",1.03,"crescent","Dentex_dentex",38,0,2.0696680969116,37.819597,0.396621621621622,-0.401623614147343,NA,0,-3.61249999999998,-2.85215348709569,"quantatative"
"91",91,91,91,"Sparidae","Dentex","dentex","Common dentex","San Pedro del Pinatar (Murcia, SE Spain)","37.819597, -0.750014",37.819597,"-0,750014","Yes","14",15.7,"38","% Air Sat.","90","8.1","Boops boops","-","-","ad libitum","Daily","Natural",3,745.1,"0.026","-","-","-","100",29600,2.52,"-","-","-","-","-","-","Juvenile","-","36","Closed","-","O2 consumption by fish","0.3","-","10","% Air Sat.",38,15.7,"-","-","No","Oxyregulator","RMR",NA,"-","-","-","",NA,"37.6","-","-","-","-","% Air Sat."," ",7.83,"-","-","","","1.562.700.776","Regression Analysis (SEE)","-","Intersection of two linear regressions ","","-","Valverde et al., ","2006","B.G. Garcia","10.1016/j.aquaculture.2006.02.030","Cerezo Valverde, J., Martínez López, F. J., & García García, B. (2006). Oxygen consumption and ventilatory frequency responses to gradual hypoxia in common dentex (Dentex dentex): Basis for suitable oxygen level estimations. Aquaculture, 256(1-4), 542-557",NA,"1.03","FCM",1.03,"crescent","Dentex_dentex",38,0,2.87221456339759,37.819597,2.51722972972973,0.400922852338647,NA,0,-5.1125,-4.35215348709569,"quantatative"
"92",92,92,92,"Sparidae","Dentex","dentex","Common dentex","San Pedro del Pinatar (Murcia, SE Spain)","37.819597, -0.750014",37.819597,"-0,750014","Yes","14",13.9,"38","% Air Sat.","90","8.1","Boops boops","-","-","ad libitum","Daily","Natural",6,117.1,"0.0025","-","-","-","100",29600,0.4,"-","-","-","-","-","-","Juvenile","-","36","Closed","-","O2 consumption by fish","0.3","-","10","% Air Sat.",38,13.9,"-","-","No","Oxyregulator","RMR",NA,"-","-","-","",NA,"26.5","-","-","-","-","% Air Sat.","-",4.79,"-","-","","","13.564.733","Regression Analysis (SEE)","-","Intersection of two linear regressions ","","-","Valverde et al., ","2006","B.G. Garcia","10.1016/j.aquaculture.2006.02.030","Cerezo Valverde, J., Martínez López, F. J., & García García, B. (2006). Oxygen consumption and ventilatory frequency responses to gradual hypoxia in common dentex (Dentex dentex): Basis for suitable oxygen level estimations. Aquaculture, 256(1-4), 542-558",NA,"1.03","FCM",1.03,"crescent","Dentex_dentex",38,0,2.06855689507236,37.819597,0.395608108108108,-0.402734815986575,NA,0,-6.91250000000006,-6.15215348709568,"quantatative"
"93",93,93,93,"Fundulidae","Fundulus","heteroclitus","Mummichog","Cherry Point, Wadmalaw Island, South Carolina, USA","32.601078, -80.186069",32.601078,"-80,186069","Yes","-",30,"25","-","-","8","-","-","-","-","-","-",5,1.75,"-","-","0.00369","0.00061","15",59.33,2.95,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","Torr",25,30,"8.1","1.32","No","Oxyregulator","RMR","9.5","-","-","umol / g / h","1000",16.63,"-","35","30","-","-","Torr","-",NA,"-","-","","304","-","Paire-wise Student-
Newman-Keuls test.","","Intersection of two linear regressions ","","Increased PCO2 did not affect Pcrit but did increase MO2. MO2 averaged over a PO2 range of 10 torr.","Cochran & Burnett","1996","L.E. Burnett","10.1016/0022-0981(95)00102-6","Cochran, R. E., & Burnett, L. E. (1996). Respiratory responses of the salt marsh animals, Fundulus heteroclitus, Leiostomus xanthurus, and Palaemonetes pugio to environmental hypoxia and hypercapnia and to the organophosphate pesticide, azinphosmethyl. Jo",NA,"1.36","FCM",1.36,"round","Fundulus_heteroclitus_heteroclitus",25,0,0.243038048686294,32.601078,2.94960391033204,0.469763700348841,1.22089224921952,-0.139038611454176,7.74956124151129,8.4528991603551,"quantatative"
"94",94,94,94,"Fundulidae","Fundulus","heteroclitus","Mummichog","Cherry Point, Wadmalaw Island, South Carolina, USA","32.601078, -80.186069",32.601078,"-80,186069","Yes","-",30,"25","-","-","8","-","-","-","-","-","-",5,1.75,"-","-","0.00369","0.00061","15",59.33,2.95,"-","-","-","-","-","-","Adult","-","-","Closed","-","O2 consumption by fish","-","-","10","Torr",25,30,"7","9.21","No","Oxyregulator","RMR","10.5","-","-","umol / g / h","1000",18.38,"-","35","30","-","-","Torr","-",NA,"-","-","","336","-","Paire-wise Student-
Newman-Keuls test.","","Intersection of two linear regressions ","","Increased PCO2 did not affect Pcrit but did increase MO2. MO2 averaged over a PO2 range of 10 torr.","Cochran & Burnett","1996","L.E. Burnett","10.1016/0022-0981(95)00102-6","Cochran, R. E., & Burnett, L. E. (1996). Respiratory responses of the salt marsh animals, Fundulus heteroclitus, Leiostomus xanthurus, and Palaemonetes pugio to environmental hypoxia and hypercapnia and to the organophosphate pesticide, azinphosmethyl. Jo",NA,"1.36","FCM",1.36,"round","Fundulus_heteroclitus_heteroclitus",25,0,0.243038048686294,32.601078,2.94960391033204,0.469763700348841,1.26434550705009,-0.0955853536236028,7.74956124151125,8.4528991603551,"quantatative"
"95",95,95,95,"Sciaenidae","Leiostomus","xanthurus","Spot croaker","Long Creek, Wadmalaw Island, South Carolina, USA","32.680602, -80.120944",32.601078,"-80,186069","Yes","-",30,"25","-","-","8","-","-","-","-","-","-",5,1.55,"-","-","0.00369","0.00022","36",556.19,0.28,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","-","-","10","Torr",25,30,"8.1","1.32","No","Oxyregulator","RMR","17.1","-","-","umol / g / h","1000",26.51,"-","35","30","-","-","Torr","-",NA,"-","-","","547.2","-","Paire-wise Student-
Newman-Keuls test.","","Intersection of two linear regressions ","","Increased PCO2 did not affect Pcrit but did increase MO2. MO2 averaged over a PO2 range of 10 torr.","Cochran & Burnett","1996","L.E. Burnett","10.1016/0022-0981(95)00102-6","Cochran, R. E., & Burnett, L. E. (1996). Respiratory responses of the salt marsh animals, Fundulus heteroclitus, Leiostomus xanthurus, and Palaemonetes pugio to environmental hypoxia and hypercapnia and to the organophosphate pesticide, azinphosmethyl. Jo",NA,"1.94","SCF",1.94,"crescent","Leiostomus_xanthurus",25,0,0.190331698170291,32.601078,0.2786817454467,-0.554891478044543,1.42340972773309,0.107603584448903,-3.56520368782753e-14,8.4528991603551,"quantatative"
"96",96,96,96,"Sciaenidae","Leiostomus","xanthurus","Spot croaker","Long Creek, Wadmalaw Island, South Carolina, USA","32.680602, -80.120945",32.601078,"-80,186069","Yes","-",30,"25","-","-","9","-","-","-","-","-","-",5,1.55,"-","-","0.00369","0.00022","36",556.19,0.28,"-","-","-","-","-","-","Juvenile","-","-","Closed","-","O2 consumption by fish","-","-","10","Torr",25,30,"7","9.21","No","Oxyregulator","RMR","24.5","-","-","umol / g / h","1000",37.98,"-","35","30","-","-","Torr","-",NA,"-","-","","784","-","Paire-wise Student-
Newman-Keuls test.","","Intersection of two linear regressions ","","Increased PCO2 did not affect Pcrit but did increase MO2. MO2 averaged over a PO2 range of 10 torr.","Cochran & Burnett","1996","L.E. Burnett","10.1016/0022-0981(95)00102-6","Cochran, R. E., & Burnett, L. E. (1996). Respiratory responses of the salt marsh animals, Fundulus heteroclitus, Leiostomus xanthurus, and Palaemonetes pugio to environmental hypoxia and hypercapnia and to the organophosphate pesticide, azinphosmethyl. Jo",NA,"1.94","SCF",1.94,"crescent","Leiostomus_xanthurus",25,0,0.190331698170291,32.601078,0.2786817454467,-0.554891478044543,1.579554960401,0.263748817116808,3.50136586391159e-14,8.4528991603551,"quantatative"
"97",97,97,97,"Embiotocidae","Embiotoca","lateralis","Striped surfperch","Jackson's Beach, WA, USA","48.520152, -123.009595",48.520152,"-123,009595","Yes","-",12,"Seawater","-","-",NA,"-","-","-","ad libitum","Daily","Natural",4,113,"0.013","-","-","-","38",2100,5.38,"147","2","-","-","-","-","Adult","-","36","Intermittent-Flow","1","Equilibration with  N2 + O2 consumption by fish","0.24","30","15","% Air Sat.",30,12,"-","-","No","Oxyregulator","RMR","118.3","-","-","mg O2/ kg / h","31,25",417.75,"15.2","-","-","2.1","-","% Air Sat.","-",3.18,"0.219587454","-","","118.3","1.568.690.942","-","extrapolating mean MO2 values at measured swimming
speeds back to zero activity, using the hydrodynamics based power
equation(Korsmeyer et al., 2002; Videler, 1993)","Intersection of two linear regressions ","","Reductions in swimming activity and metabolic energy expenditure clearly occur as individuals reach their aerobic metabolic limits'","Cook et al., ","2014","D.G. Cook","10.1016/j.jembe.2014.07.002","Cook, D. G., Brown, E. J., Lefevre, S., Domenici, P., & Steffensen, J. F. (2014). The response of striped surfperch embiotoca lateralis to progressive hypoxia: Swimming activity, shoal structure, and estimated metabolic expenditure. Journal of Experimental Marine Biology and Ecology, 460, 162-169. ",NA,NA,NA,1,"crescent","Embiotoca_lateralis",35,0,2.05307844348342,48.520152,5.38095238095238,0.730859148749501,2.62091645856543,0.129924693030498,4.42701431069281e-15,-4.98676915716275,"qualitative (Seawater)"
"98",98,98,98,"Sparidae","Pagrus","auratus","Australasian snapper","Leigh, Northland, New Zealand","-36.317656, 174.759311",-36.317656,"174,759311","Yes","42",21,"Seawater","kPa","21",NA,"squid
and pilchard","-","-","-","-","-",NA,225,"-","-","300","150","130",20500,1.1,"-","-","-","-","-","Juvenile","Juvenile","-","-","unknown","-","Equilibration with  N2 ","-","-","4.5","kPa",30,21,"-","-","No","Oxyregulator","SMR","152.1","-","-","mg O2/ kg / h","31,25",1069.45,"6.93","-","-","0.61","-","kPa","-",6.93,"0.61","-","152.1","152.1","-","ANOVA and a Tukey’s post hoc","15% quantile method (Chabot and Claireaux, 2008; Cook et al., 2011; Dupont-Prinet et al., 2010)","Intersection of SMR line and < SMR line with forced Y intercept of 0","","Chronic hypoxia exposure (preconditioning) did not significantly affect Pcrit. ","Cook et al., ","2013","N.A. Herbert","10.1242/jeb.073023","Cook, D. G., Iftikar, F. I., Baker, D. W., Hickey, A. J. R., & Herbert, N. A. (2013). Low-O2 acclimation shifts the hypoxia avoidance behaviour of snapper (Pagrus auratus) with only subtle changes in aerobic and anaerobic function. Journal of Experimental Biology, 216(3), 369-378. ",NA,"0.67","FIA",0.67,"crescent","Pagrus_auratus",35,0,2.35218251811136,36.317656,1.09756097560976,0.0404286570556082,3.02916048481058,0.0568514843401058,1.69609314328073,0.517585988484431,"qualitative (Seawater)"
